epoch, time, train_err, encoded_u_loss, encoded_v_loss, encoded_cp_loss, encoded_lognutratio_loss, lr
90, 2.35, 0.035771, 0.029317, 0.056653, 0.038124, 14.788158, 9.20e-04
100, 2.34, 0.034433, 0.026448, 0.051883, 0.034027, 14.785112, 9.03e-04
110, 2.34, 0.037939, 0.025425, 0.050865, 0.029996, 14.784779, 8.83e-04
120, 2.34, 0.039123, 0.023214, 0.047649, 0.031692, 14.829723, 8.62e-04
130, 2.32, 0.033105, 0.024255, 0.048025, 0.030331, 14.857360, 8.40e-04
140, 2.33, 0.034372, 0.022809, 0.046674, 0.029908, 14.865796, 8.16e-04
150, 2.35, 0.030650, 0.022616, 0.046753, 0.029985, 14.857246, 7.91e-04
160, 2.37, 0.028693, 0.020595, 0.043568, 0.029359, 14.851010, 7.65e-04
170, 2.39, 0.031845, 0.020274, 0.045371, 0.028296, 14.847524, 7.38e-04
180, 2.31, 0.027631, 0.018264, 0.041753, 0.028257, 14.823574, 7.10e-04
190, 2.37, 0.029144, 0.017323, 0.041139, 0.027514, 14.802784, 6.81e-04
